...1,doc_id,adj_token_id,noun_token_id,sentence,adj_token,noun_token,noun_lemma,parse_type,prenominal,adj_lower,dataset,adj_stem,noun_stem,person,session,subject,X
180,19388,8,9,If you hadn't have bought those library books we could have carried some home the other day.,library,books,book,adj,TRUE,library,cabnc_utts_udpipe,librari,book,adult,NA,NA,NA
181,19617,5,6,Yes but tho those glass houses are over the fence the other side in Summerleigh They're.,glass,houses,house,adj,TRUE,glass,cabnc_utts_udpipe,glass,hous,adult,NA,NA,NA
182,19741,2,3,Or tonic water.,tonic,water,water,adj,TRUE,tonic,cabnc_utts_udpipe,tonic,water,adult,NA,NA,NA
183,19743,3,4,Lemonade or tonic water.,tonic,water,water,adj,TRUE,tonic,cabnc_utts_udpipe,tonic,water,adult,NA,NA,NA
184,19745,4,5,Do you want tonic water or lemonade in it.,tonic,water,water,adj,TRUE,tonic,cabnc_utts_udpipe,tonic,water,adult,NA,NA,NA
185,19749,7,9,Co no come and have that cod liver oil.,cod,oil,oil,adj,FALSE,cod,cabnc_utts_udpipe,cod,oil,adult,NA,NA,NA
186,19774,10,11,No plum I know they used to call it plum pudding.,plum,pudding,pudding,adj,TRUE,plum,cabnc_utts_udpipe,plum,pud,adult,NA,NA,NA
187,19866,17,18,No Leave the pots and everything Arthur I'm hot in here I'll wash these green mats,green,mats,mat,adj,TRUE,green,cabnc_utts_udpipe,green,mat,adult,NA,NA,NA
188,19866,4,5,These the other green mats,green,mats,mat,adj,TRUE,green,cabnc_utts_udpipe,green,mat,adult,NA,NA,NA
189,19934,9,10,You've burnt your I can smell burnt rubber Your slippers have been against the fire You've got that paper down there I can see it.,burnt,rubber,rubber,adj,TRUE,burnt,cabnc_utts_udpipe,burnt,rubber,adult,NA,NA,NA
190,20011,7,8,July and I bet bet my bottom dollar it was taken when Jackie and Tom were on holiday because of how their bit of front garden is all dried up and that building at the back was completed.,bottom,dollar,dollar,adj,TRUE,bottom,cabnc_utts_udpipe,bottom,dollar,adult,NA,NA,NA
191,20128,12,13,those chocolates have made me sick take them out of this hot room.,hot,room,room,adj,TRUE,hot,cabnc_utts_udpipe,hot,room,adult,NA,NA,NA
192,20222,4,5,you know that back door key I seemed to remember picking a key up thinking it was the garage key.,back,door,door,adj,TRUE,back,cabnc_utts_udpipe,back,door,adult,NA,NA,NA
193,20226,9,10,and then I found out it was the back door key.,back,door,door,adj,TRUE,back,cabnc_utts_udpipe,back,door,adult,NA,NA,NA
194,20356,13,14,mm give it time I mean its talk talk Churchill said jaw jaw but you can have too much jaw jaw can't ya Did you read that er a bit about him.,jaw,jaw,jaw,adj,TRUE,jaw,cabnc_utts_udpipe,jaw,jaw,adult,NA,NA,NA
195,20361,8,9,well he was a bit of a slave driver I mean every body.,slave,driver,driver,adj,TRUE,slave,cabnc_utts_udpipe,slave,driver,adult,NA,NA,NA
196,20425,2,3,the red lights on should it be.,red,lights,light,adj,TRUE,red,cabnc_utts_udpipe,red,light,adult,NA,NA,NA
197,20474,1,2,square face.,square,face,face,adj,TRUE,square,cabnc_utts_udpipe,squar,face,adult,NA,NA,NA
198,20475,5,6,who says she's square face.,square,face,face,adj,TRUE,square,cabnc_utts_udpipe,squar,face,adult,NA,NA,NA
199,20517,4,5,no sort of rusty nails not.,rusty,nails,nails,adj,TRUE,rusty,cabnc_utts_udpipe,rusti,nail,adult,NA,NA,NA
200,20588,3,4,they were pattern holes weren't they.,pattern,holes,holes,adj,TRUE,pattern,cabnc_utts_udpipe,pattern,hole,adult,NA,NA,NA
201,20623,12,13,yeah perhaps isn't cos look at the pain in your frozen shoulder its pain and yet its nothing broke is there.,frozen,shoulder,shoulder,adj,TRUE,frozen,cabnc_utts_udpipe,frozen,shoulder,adult,NA,NA,NA
202,20638,8,9,I haven't got plenty of old gold rings.,gold,rings,ring,adj,TRUE,gold,cabnc_utts_udpipe,gold,ring,adult,NA,NA,NA
203,20728,17,20,well in the early days I only got er what was what was your yours a quarter horse power motor wasn't it.,quarter,motor,motor,adj,FALSE,quarter,cabnc_utts_udpipe,quarter,motor,adult,NA,NA,NA
204,20903,10,11,yes that's all the time same as my cupboard door in the kitchen will it take you long to repair that.,cupboard,door,door,adj,TRUE,cupboard,cabnc_utts_udpipe,cupboard,door,adult,NA,NA,NA
205,20905,2,3,that cupboard door in the kitchen.,cupboard,door,door,adj,TRUE,cupboard,cabnc_utts_udpipe,cupboard,door,adult,NA,NA,NA
206,21154,2,3,A dark suit and moustache.,dark,suit,suit,adj,TRUE,dark,cabnc_utts_udpipe,dark,suit,adult,NA,NA,NA
207,21159,18,19,I'm glad I'm getting rid of all the Christmas remnants I've only got one round case and about two vol au vents.,round,case,case,adj,TRUE,round,cabnc_utts_udpipe,round,case,adult,NA,NA,NA
208,21202,4,5,February you get wet snow and rain.,wet,snow,snow,adj,TRUE,wet,cabnc_utts_udpipe,wet,snow,adult,NA,NA,NA
209,21205,6,7,It was you left the back door open that's what's made it the room cold.,back,door,door,adj,TRUE,back,cabnc_utts_udpipe,back,door,adult,NA,NA,NA
210,21254,18,19,I've been in digs where you went to bed and you've had to put your top coat on the bed.,top,coat,coat,adj,TRUE,top,cabnc_utts_udpipe,top,coat,adult,NA,NA,NA
211,21384,34,35,I mean if we go we're sitting on the outside and invariably they're a bit over into the gangway well if a chap kept pushing against us as the car went round corners it wouldn't be very nice would it Some might like it some might object.,round,corners,corner,adj,TRUE,round,cabnc_utts_udpipe,round,corner,adult,NA,NA,NA
212,21390,4,5,you with a broken arm.,broken,arm,arm,adj,TRUE,broken,cabnc_utts_udpipe,broken,arm,adult,NA,NA,NA
213,21412,16,17,No I didn't I only went in the hall for that paper Lock the back door Arthur,back,door,door,adj,TRUE,back,cabnc_utts_udpipe,back,door,adult,NA,NA,NA
